Sales Channel,Order Quantity,Discount Applied,Unit Cost,Unit Price,DeliveryDays
Distributor,5,0.05,2280.68,5701.7,1
Online,4,0.2,125.42,174.2,0
Distributor,2,0.1,671.14,1065.3,184
Online,6,0.1,928.62,1105.5,10
In-Store,5,0.15,108.88,167.5,8
Wholesale,7,0.1,3001.6,3752.0,7
Wholesale,6,0.075,576.87,703.5,3
Online,4,0.05,772.11,1795.6,8
In-Store,1,0.05,2300.65,3899.4,7
Online,1,0.075,803.2,991.6,91
Online,1,0.15,1193.47,2539.3,4
In-Store,1,0.075,704.77,1051.9,3
In-Store,3,0.2,501.16,911.2,120
Online,3,0.075,3325.88,3912.8,9
Distributor,5,0.075,708.79,998.3,92
Distributor,6,0.05,433.36,1031.8,0
Distributor,4,0.1,1459.46,2753.7,0
Wholesale,7,0.4,143.05,234.5,122
Online,2,0.05,702.03,1132.3,10
In-Store,2,0.1,449.97,978.2,0
In-Store,6,0.075,1938.58,2619.7,0
Wholesale,7,0.15,528.56,1078.7,0
Wholesale,2,0.05,804.8,1829.1,59
Distributor,1,0.05,508.87,1038.5,0
Online,5,0.05,1894.22,3946.3,158
Online,1,0.05,2596.85,5299.7,0
In-Store,6,0.15,1442.71,2365.1,89
Distributor,3,0.15,120.6,268.0,0
Wholesale,8,0.075,785.91,1139.0,0
Distributor,6,0.05,751.74,1139.0,1
Online,2,0.3,148.74,247.9,7
Online,5,0.4,1806.05,3926.2,95
Online,8,0.05,712.88,938.0,67
In-Store,6,0.075,2417.03,3718.5,99
In-Store,4,0.05,1335.04,2472.3,2
Wholesale,5,0.05,3080.66,5601.2,89
Online,3,0.3,1861.06,3959.7,4
Online,5,0.15,720.92,1802.3,1
In-Store,3,0.05,1596.34,2418.7,0
Distributor,6,0.05,1065.84,1299.8,0
Distributor,6,0.1,682.53,1118.9,8
In-Store,6,0.1,1573.16,3932.9,5
Distributor,1,0.075,95.07,221.1,0
In-Store,2,0.1,93.8,187.6,122
Distributor,7,0.05,1324.26,2244.5,0
Online,7,0.3,1799.75,2432.1,61
In-Store,5,0.05,3337.94,6298.0,6
In-Store,8,0.05,1476.35,2271.3,8
Distributor,8,0.05,2785.86,3979.8,275
In-Store,4,0.4,166.43,241.2,3
In-Store,1,0.2,439.52,1098.8,1
In-Store,7,0.15,1468.91,2331.6,2
In-Store,5,0.05,2406.37,2934.6,3
Online,4,0.1,1377.45,1788.9,30
In-Store,7,0.05,2583.25,3075.3,0
Distributor,2,0.05,1422.48,2257.9,0
In-Store,8,0.15,612.05,971.5,0
In-Store,1,0.075,2482.42,3705.1,150
Distributor,6,0.075,110.95,241.2,122
Online,4,0.15,2529.92,3953.0,3
In-Store,5,0.075,337.68,844.2,153
Wholesale,3,0.075,1737.85,2633.1,1
Online,1,0.05,1412.49,1701.8,2
Online,4,0.075,78.73,167.5,40
Online,4,0.15,1236.82,2378.5,0
Wholesale,7,0.05,733.52,1078.7,8
Online,1,0.05,1888.19,2452.2,4
Online,5,0.075,1519.09,1922.9,0
In-Store,1,0.4,3859.07,6224.3,0
Wholesale,4,0.15,994.28,1876.0,0
In-Store,5,0.05,2774.07,6304.7,35
Distributor,4,0.1,569.23,964.8,4
In-Store,2,0.15,2780.7,3611.3,0
In-Store,3,0.075,633.15,1005.0,6
Distributor,2,0.15,1201.38,2793.9,59
In-Store,3,0.05,646.68,850.9,273
In-Store,5,0.075,1913.52,2278.0,0
Wholesale,7,0.15,655.26,1092.1,9
Wholesale,4,0.05,3578.14,6505.7,99
Distributor,5,0.05,495.26,1125.6,1
Distributor,8,0.15,559.58,1165.8,0
In-Store,5,0.05,674.96,978.2,30
Online,8,0.075,1578.25,3035.1,7
In-Store,4,0.075,167.23,214.4,30
Online,3,0.075,709.13,1125.6,214
In-Store,2,0.1,3284.94,5567.7,3
Wholesale,7,0.075,70.35,167.5,0
In-Store,1,0.2,1111.66,1822.4,0
Wholesale,2,0.4,2632.56,5983.1,30
Online,2,0.1,1135.45,1802.3,183
In-Store,7,0.075,2481.95,3939.6,92
Online,1,0.075,311.28,676.7,5
In-Store,7,0.075,1452.02,3457.2,2
In-Store,5,0.15,4658.91,5681.6,122
Distributor,3,0.075,178.22,254.6,10
Wholesale,6,0.05,2831.89,3879.3,0
In-Store,1,0.05,1776.44,3289.7,61
In-Store,7,0.05,104.79,227.8,2
In-Store,3,0.075,1731.95,3685.0,4
In-Store,6,0.05,1724.58,3832.4,1
In-Store,3,0.1,181.3,221.1,122
In-Store,8,0.05,1172.97,1922.9,0
Online,1,0.05,453.05,984.9,0
Distributor,3,0.05,776.6,1159.1,92
Wholesale,3,0.2,143.72,261.3,214
Online,8,0.1,1181.88,1688.4,0
In-Store,6,0.1,486.42,884.4,9
Distributor,6,0.2,621.89,797.3,1
In-Store,1,0.15,626.45,1139.0,184
Online,6,0.075,1457.92,1822.4,184
Distributor,8,0.1,1344.02,2278.0,31
In-Store,5,0.1,120.6,167.5,1
Wholesale,6,0.15,512.55,683.4,184
Wholesale,8,0.075,748.66,1011.7,90
Distributor,1,0.075,1512.19,2479.0,153
Distributor,4,0.3,1881.56,2726.9,0
In-Store,2,0.05,906.31,1118.9,1
In-Store,1,0.05,1010.96,1279.7,1
In-Store,2,0.1,3292.38,3919.5,122
Online,4,0.075,835.16,1855.9,0
Wholesale,2,0.05,1423.88,1849.2,31
In-Store,1,0.2,2636.45,5272.9,0
In-Store,5,0.05,141.84,194.3,0
Online,5,0.05,643.87,1038.5,126
Distributor,2,0.05,2375.82,5279.6,10
In-Store,8,0.2,2111.91,3705.1,0
In-Store,5,0.15,101.04,194.3,2
In-Store,1,0.05,879.04,1098.8,273
In-Store,7,0.075,1409.68,1762.1,0
Distributor,5,0.05,101.04,174.2,3
Online,5,0.05,1591.32,2525.9,188
Wholesale,3,0.05,1256.92,1876.0,4
In-Store,5,0.15,718.24,897.8,0
Wholesale,4,0.075,455.87,844.2,157
In-Store,7,0.1,2202.42,3932.9,0
In-Store,1,0.075,2519.94,3999.9,126
In-Store,3,0.05,820.08,964.8,153
In-Store,4,0.1,1462.61,1976.5,31
Online,8,0.075,401.06,978.2,273
In-Store,3,0.15,3023.04,3778.8,184
Online,1,0.075,967.61,1165.8,9
Distributor,8,0.1,887.35,1152.4,0
Distributor,8,0.1,522.6,1045.2,0
Distributor,3,0.15,3767.21,6385.1,1
Online,1,0.075,1423.95,2686.7,4
In-Store,5,0.05,3201.73,6277.9,1
Wholesale,8,0.075,857.73,1159.1,61
Online,8,0.15,671.34,1118.9,122
In-Store,1,0.05,844.2,1340.0,0
In-Store,7,0.05,1841.96,2331.6,4
In-Store,4,0.05,1406.73,2425.4,0
Online,8,0.075,688.02,1092.1,0
In-Store,8,0.15,614.99,917.9,10
In-Store,7,0.1,85.16,207.7,0
In-Store,8,0.05,1637.21,1996.6,7
Online,7,0.1,103.18,234.5,1
In-Store,1,0.1,693.45,1005.0,0
In-Store,6,0.075,4060.6,5487.3,0
Online,6,0.05,3585.84,5976.4,0
Online,8,0.2,619.08,884.4,66
Online,7,0.15,4802.69,6157.3,304
Wholesale,1,0.3,694.66,964.8,6
In-Store,8,0.1,1557.08,3892.7,6
In-Store,4,0.075,179.96,227.8,2
In-Store,5,0.05,991.6,1340.0,9
Online,4,0.075,773.85,1105.5,0
In-Store,5,0.05,624.57,1058.6,36
Wholesale,3,0.05,2619.7,5695.0,0
Online,2,0.15,719.85,1058.6,1
Distributor,6,0.075,475.37,1105.5,8
Distributor,8,0.15,553.96,1045.2,9
Online,3,0.075,1061.28,1768.8,0
Online,7,0.05,393.96,804.0,120
In-Store,6,0.05,101.3,241.2,122
Distributor,2,0.075,2292.74,3953.0,0
Online,6,0.05,3078.72,6036.7,0
In-Store,1,0.15,4338.25,6197.5,1
In-Store,3,0.1,3818.6,6472.2,2
Online,5,0.3,1463.28,2814.0,151
Online,1,0.075,168.04,221.1,0
In-Store,3,0.075,1670.85,2257.9,5
Wholesale,6,0.05,1973.15,3946.3,217
In-Store,6,0.3,227.8,268.0,31
Distributor,2,0.05,4549.3,6499.0,3
Online,5,0.3,515.9,938.0,7
In-Store,3,0.15,450.24,938.0,0
Distributor,5,0.15,595.76,1145.7,0
In-Store,2,0.05,671.14,1065.3,6
Online,1,0.1,1562.44,3906.1,123
Distributor,4,0.05,2922.81,3845.8,1
Distributor,4,0.1,2922.81,3845.8,0
Online,3,0.1,443.67,1031.8,0
Online,1,0.15,1736.64,3859.2,156
In-Store,1,0.05,589.73,1092.1,61
Online,8,0.05,684.61,877.7,183
In-Store,3,0.2,1047.55,1775.5,122
In-Store,5,0.05,3241.73,3859.2,31
In-Store,2,0.15,1295.04,2539.3,5
In-Store,7,0.2,1936.03,2304.8,6
Distributor,6,0.075,168.04,254.6,0
Distributor,7,0.05,440.59,917.9,122
In-Store,5,0.075,814.05,1005.0,0
Distributor,3,0.05,891.9,1715.2,153
In-Store,1,0.075,106.13,241.2,69
Online,8,0.15,2569.45,3953.0,8
In-Store,5,0.075,641.59,1145.7,9
Online,4,0.1,664.37,991.6,0
Distributor,1,0.05,2012.61,3946.3,10
Distributor,8,0.075,871.87,1132.3,0
Distributor,2,0.15,696.8,1072.0,0
Distributor,4,0.075,450.24,938.0,3
In-Store,8,0.05,529.3,1058.6,0
In-Store,3,0.075,2216.83,5406.9,122
Distributor,1,0.15,4025.29,5514.1,0
Online,4,0.4,1422.28,2452.2,214
Online,8,0.05,2706.26,3979.8,1
In-Store,8,0.3,5288.51,6371.7,3
Online,4,0.1,1541.0,3852.5,0
Online,4,0.15,2433.84,2968.1,2
Online,6,0.1,3252.98,6378.4,9
In-Store,7,0.1,804.4,1165.8,4
Distributor,3,0.05,586.12,1085.4,0
Wholesale,6,0.075,994.28,2485.7,7
In-Store,5,0.05,1161.98,2472.3,0
Wholesale,4,0.1,1348.58,1983.2,8
Online,5,0.075,660.35,1031.8,0
Distributor,6,0.15,786.92,1748.7,10
In-Store,1,0.05,2090.4,2680.0,0
In-Store,3,0.05,4246.86,5179.1,3
In-Store,3,0.05,1918.88,2398.6,1
In-Store,6,0.2,1215.85,1762.1,6
Online,7,0.05,4333.56,5628.0,4
Wholesale,3,0.1,3480.11,5272.9,0
Distributor,2,0.1,2367.98,3758.7,3
Distributor,1,0.05,465.38,1011.7,2
Online,4,0.15,1704.08,3155.7,98
Online,1,0.15,3257.54,5922.8,0
Online,8,0.075,1667.3,2646.5,0
In-Store,4,0.1,564.94,911.2,1
Wholesale,4,0.075,502.5,837.5,0
Wholesale,5,0.1,924.6,1340.0,34
Online,7,0.15,2389.89,2914.5,0
In-Store,6,0.1,721.19,1045.2,151
Distributor,7,0.05,1968.19,3859.2,0
In-Store,7,0.4,4552.65,6070.2,1
In-Store,4,0.15,484.95,1031.8,2
In-Store,5,0.075,678.24,1279.7,0
In-Store,7,0.15,610.1,1051.9,5
Wholesale,4,0.05,1201.18,2224.4,92
In-Store,2,0.05,674.29,911.2,0
In-Store,8,0.075,450.24,1072.0,0
Distributor,6,0.05,1381.47,1748.7,153
In-Store,5,0.1,2102.06,2532.6,8
Online,8,0.3,849.9,1976.5,2
Distributor,1,0.05,1413.03,1909.5,7
Online,5,0.075,917.36,1092.1,0
Online,2,0.1,519.38,1018.4,2
Wholesale,5,0.1,574.06,844.2,6
In-Store,5,0.1,2637.12,6432.0,0
Online,7,0.3,765.41,1125.6,10
Online,3,0.15,790.6,1976.5,6
Online,1,0.05,607.82,1125.6,7
In-Store,7,0.05,896.86,1949.7,9
Wholesale,3,0.05,1876.0,2345.0,10
In-Store,7,0.075,1279.63,1802.3,28
Online,2,0.05,105.06,214.4,0
In-Store,6,0.05,1263.49,3008.3,4
Distributor,8,0.05,827.72,1165.8,1
Online,5,0.05,412.72,1031.8,3
Online,2,0.075,1016.66,1882.7,123
Online,1,0.075,743.43,1018.4,8
In-Store,2,0.1,3027.6,3832.4,6
In-Store,8,0.075,2172.88,5299.7,214
Online,4,0.2,2917.72,3839.1,127
In-Store,6,0.15,763.53,991.6,6
Online,7,0.075,136.01,234.5,10
Wholesale,3,0.05,604.34,1098.8,4
Online,2,0.1,117.18,221.1,10
Distributor,7,0.3,110.08,207.7,0
Distributor,5,0.075,1639.96,3999.9,0
Online,6,0.1,1455.04,2552.7,0
Wholesale,2,0.2,2816.14,3966.4,40
Distributor,3,0.1,850.36,1118.9,7
In-Store,1,0.15,905.1,1145.7,122
Online,2,0.075,1407.4,2606.3,0
Online,6,0.1,2228.35,2820.7,7
In-Store,4,0.05,1228.78,1755.4,3
In-Store,7,0.075,706.18,1139.0,0
Online,3,0.2,4173.36,5152.3,1
In-Store,6,0.2,3027.6,3832.4,214
Distributor,7,0.075,1325.46,1815.7,214
Online,6,0.05,2840.8,5360.0,5
Distributor,8,0.1,783.23,1118.9,59
Online,8,0.075,2003.57,3577.8,3
In-Store,1,0.3,1686.26,3832.4,214
Wholesale,1,0.075,867.52,1112.2,91
In-Store,3,0.1,2272.98,3852.5,5
Wholesale,5,0.075,92.26,180.9,8
In-Store,3,0.2,2629.42,5594.5,5
Distributor,3,0.15,2587.81,3644.8,4
In-Store,1,0.15,1028.79,1239.5,3
In-Store,6,0.075,441.66,690.1,0
Online,2,0.15,703.5,837.5,0
Distributor,1,0.05,1549.11,2458.9,9
In-Store,2,0.05,1576.78,1922.9,4
Wholesale,6,0.05,2323.56,3872.6,1
Online,6,0.1,1337.86,1715.2,89
Online,8,0.4,1929.6,3859.2,5
Online,3,0.075,1829.57,3892.7,9
Distributor,6,0.05,890.03,1085.4,35
In-Store,1,0.3,409.77,931.3,128
Distributor,5,0.075,733.25,1145.7,68
Online,1,0.4,986.17,2405.3,1
In-Store,6,0.1,1843.04,4006.6,2
Wholesale,8,0.15,106.53,201.0,5
In-Store,2,0.4,170.85,227.8,8
Distributor,1,0.15,1845.98,3845.8,5
In-Store,8,0.2,2295.42,3825.7,67
Online,5,0.075,2287.58,4013.3,31
Distributor,1,0.15,201.2,261.3,2
Online,6,0.15,103.85,167.5,59
Distributor,1,0.075,709.13,1125.6,0
Online,6,0.075,2176.83,3819.0,0
In-Store,8,0.1,3163.2,5453.8,123
Online,8,0.1,1191.53,2291.4,184
Online,2,0.1,1321.58,1762.1,273
Online,1,0.05,428.26,911.2,122
Wholesale,4,0.15,1641.17,2311.5,303
Distributor,6,0.15,4471.85,6210.9,4
Distributor,3,0.05,4351.25,5306.4,0
In-Store,2,0.1,1863.4,2740.3,122
Online,1,0.075,906.31,1118.9,30
Wholesale,2,0.075,725.21,1098.8,0
In-Store,8,0.15,795.22,958.1,67
In-Store,3,0.4,4911.9,6217.6,30
In-Store,7,0.075,559.92,917.9,92
Online,3,0.075,554.83,1132.3,0
Distributor,6,0.15,830.6,1695.1,3
Wholesale,8,0.1,798.64,998.3,0
Distributor,5,0.05,867.92,1701.8,0
In-Store,3,0.1,707.32,1025.1,1
In-Store,3,0.05,203.81,261.3,158
Distributor,1,0.075,611.58,1092.1,40
Online,7,0.075,227.8,268.0,0
Wholesale,3,0.05,1067.51,2271.3,9
Distributor,4,0.1,405.22,723.6,10
Wholesale,1,0.05,4169.68,5634.7,0
Wholesale,1,0.05,788.99,1715.2,120
Online,6,0.075,774.65,944.7,2
In-Store,1,0.075,1626.49,2391.9,68
In-Store,2,0.05,1140.21,1701.8,212
Distributor,8,0.1,2845.89,3470.6,153
Wholesale,4,0.1,692.24,844.2,304
In-Store,6,0.075,1074.55,1326.6,1
Online,4,0.075,1762.9,4006.6,31
In-Store,6,0.075,637.57,1045.2,7
In-Store,5,0.075,1326.6,2653.2,153
Online,3,0.075,3375.46,6137.2,9
In-Store,6,0.075,1514.2,3785.5,9
In-Store,3,0.05,2170.2,3557.7,0
Distributor,1,0.05,3356.1,5688.3,4
Online,3,0.3,153.7,247.9,0
In-Store,7,0.05,125.69,187.6,61
Wholesale,2,0.05,1331.02,1728.6,2
Online,2,0.075,706.65,1333.3,69
Distributor,3,0.05,471.68,857.6,1
In-Store,4,0.2,751.34,1788.9,5
Online,8,0.15,922.19,1246.2,304
In-Store,3,0.05,854.25,1139.0,153
Distributor,3,0.2,1385.69,2566.1,212
In-Store,7,0.075,489.37,1112.2,40
Online,6,0.1,871.34,1025.1,153
In-Store,8,0.1,91.92,187.6,5
In-Store,5,0.2,4698.38,6264.5,128
In-Store,5,0.05,125.42,174.2,1
Wholesale,6,0.075,2180.65,3825.7,3
Distributor,5,0.15,738.07,1025.1,0
Distributor,3,0.4,665.18,978.2,1
In-Store,8,0.1,2766.3,5319.8,31
Wholesale,8,0.15,1177.66,1869.3,0
Online,5,0.05,911.74,1085.4,10
In-Store,4,0.05,503.84,1072.0,0
In-Store,2,0.2,216.88,261.3,1
In-Store,1,0.15,3091.11,3912.8,8
Online,6,0.15,1176.25,2673.3,2
In-Store,2,0.05,553.96,1045.2,0
Wholesale,3,0.4,1061.28,2412.0,120
In-Store,1,0.05,417.54,1018.4,120
Online,5,0.2,1896.64,2257.9,150
Online,7,0.1,2297.16,2907.8,10
Wholesale,6,0.075,585.31,1125.6,2
In-Store,2,0.075,525.28,1072.0,68
In-Store,5,0.1,1139.67,1809.0,0
Online,3,0.1,533.05,1025.1,2
In-Store,3,0.3,1976.5,3953.0,9
In-Store,8,0.075,2016.03,2371.8,5
Distributor,8,0.05,1462.21,2358.4,10
In-Store,2,0.1,1620.06,2613.0,0
Online,3,0.1,452.25,904.5,0
In-Store,3,0.15,584.31,1025.1,1
Online,2,0.1,2504.13,3852.5,95
Online,3,0.15,95.68,227.8,0
Wholesale,4,0.05,1618.05,2345.0,0
Wholesale,5,0.1,787.92,1969.8,0
Online,5,0.05,1293.1,2586.2,31
Distributor,7,0.05,3736.59,5748.6,5
Wholesale,3,0.075,170.25,221.1,2
Online,1,0.075,2835.98,3832.4,4
Online,8,0.3,4167.74,6411.9,5
In-Store,3,0.05,515.9,1031.8,66
In-Store,7,0.1,1603.98,3819.0,0
In-Store,8,0.05,985.3,1728.6,0
In-Store,4,0.1,1649.81,2291.4,40
Distributor,5,0.075,3205.28,4006.6,245
Online,3,0.05,1736.37,3946.3,0
Distributor,1,0.05,4127.2,5896.0,0
In-Store,3,0.075,2013.08,2425.4,0
In-Store,6,0.075,962.39,1145.7,2
Distributor,7,0.075,2234.85,3604.6,9
In-Store,2,0.4,701.62,1031.8,181
Online,5,0.15,2106.48,2633.1,214
Distributor,8,0.1,1300.07,2954.7,214
Distributor,7,0.15,715.29,1051.9,10
Distributor,7,0.15,726.01,864.3,5
Online,1,0.05,1557.35,1996.6,0
Distributor,4,0.075,2529.92,3953.0,2
In-Store,8,0.075,2811.39,3959.7,1
Wholesale,3,0.1,194.64,234.5,61
In-Store,6,0.05,1503.48,2211.0,2
In-Store,8,0.075,562.8,1172.5,0
Wholesale,5,0.075,91.12,227.8,0
In-Store,3,0.1,1023.49,1795.6,0
Online,1,0.075,1134.51,1922.9,9
In-Store,6,0.075,1878.14,2572.8,6
In-Store,3,0.4,581.56,830.8,0
Online,3,0.1,711.94,924.6,4
Wholesale,7,0.05,2369.79,5266.2,0
Wholesale,4,0.2,3197.58,3852.5,0
Online,1,0.05,513.76,951.4,5
Distributor,4,0.05,1311.53,2914.5,9
Distributor,4,0.2,1620.53,2418.7,5
In-Store,2,0.15,1523.58,2539.3,7
In-Store,1,0.075,1148.11,2251.2,2
In-Store,3,0.1,2780.43,5246.1,4
Distributor,5,0.3,591.74,924.6,4
Wholesale,8,0.4,650.03,1031.8,0
Wholesale,3,0.1,1317.69,1855.9,3
In-Store,7,0.15,588.13,1031.8,61
Distributor,4,0.15,724.14,1293.1,0
In-Store,8,0.1,508.87,1038.5,0
In-Store,1,0.075,1037.16,1728.6,122
In-Store,3,0.1,173.53,234.5,0
In-Store,7,0.2,2253.21,3953.0,5
Distributor,2,0.075,553.96,710.2,0
Wholesale,8,0.1,1286.33,1762.1,0
Online,7,0.1,1335.24,1829.1,0
Wholesale,7,0.075,1289.75,2345.0,9
In-Store,4,0.1,3683.39,5755.3,4
Online,1,0.05,491.45,1092.1,151
In-Store,5,0.075,1427.1,2854.2,5
Online,1,0.05,423.04,1031.8,0
Distributor,1,0.075,544.98,1112.2,243
Online,2,0.15,1604.72,3731.9,5
Wholesale,7,0.05,1955.33,2572.8,39
In-Store,8,0.075,143.72,261.3,61
Wholesale,3,0.05,152.63,227.8,8
Online,5,0.3,1110.59,1983.2,0
Online,1,0.05,219.76,268.0,0
Online,2,0.05,2123.77,3932.9,92
Online,8,0.075,1672.72,2291.4,8
Online,7,0.075,5019.98,6197.5,3
Online,4,0.1,2495.42,3839.1,120
In-Store,1,0.3,793.95,1058.6,153
Online,8,0.075,579.28,877.7,1
In-Store,8,0.4,5171.06,6083.6,2
Wholesale,1,0.2,3024.65,3979.8,5
In-Store,5,0.1,3163.94,3906.1,1
Distributor,6,0.075,4986.01,6311.4,9
Online,8,0.1,1493.23,2619.7,8
In-Store,6,0.075,1396.28,3490.7,98
In-Store,1,0.05,117.25,234.5,8
Online,8,0.3,585.31,1125.6,6
In-Store,3,0.1,1211.23,2633.1,0
Online,5,0.075,854.25,1005.0,3
In-Store,8,0.05,878.64,1112.2,92
In-Store,8,0.05,1995.46,2525.9,0
Distributor,7,0.05,91.92,187.6,0
Online,7,0.075,1317.76,1996.6,5
In-Store,5,0.4,2062.26,2546.0,10
Wholesale,2,0.075,754.15,1125.6,0
Distributor,8,0.15,1828.3,2539.3,0
In-Store,7,0.15,1275.01,2318.2,2
In-Store,6,0.2,1919.95,3999.9,5
In-Store,8,0.05,678.04,1232.8,214
In-Store,7,0.05,371.65,864.3,304
Distributor,3,0.3,2316.12,3356.7,1
In-Store,7,0.075,1879.95,3999.9,5
Distributor,2,0.15,1473.67,1775.5,0
In-Store,4,0.15,784.17,1018.4,4
In-Store,1,0.05,3142.23,3879.3,0
Online,3,0.05,1349.31,2753.7,3
Distributor,5,0.1,780.15,1098.8,5
Wholesale,1,0.05,82.08,167.5,0
Online,8,0.1,438.98,1045.2,243
Distributor,7,0.075,146.33,174.2,0
Online,5,0.05,879.04,1098.8,0
Online,5,0.075,1316.35,2231.1,8
In-Store,4,0.05,547.93,944.7,5
Online,1,0.075,481.8,1025.1,0
Online,4,0.1,2836.51,3939.6,7
In-Store,1,0.4,5033.64,6371.7,69
Distributor,5,0.05,606.02,904.5,273
Wholesale,2,0.05,3942.15,6358.3,7
Online,5,0.075,103.85,167.5,3
Online,8,0.05,642.2,904.5,1
In-Store,1,0.075,3072.89,3939.6,4
In-Store,5,0.4,2766.56,3738.6,304
Online,5,0.4,806.35,971.5,0
Distributor,3,0.4,813.11,1098.8,3
Online,5,0.1,156.18,247.9,6
Wholesale,4,0.05,1451.22,2418.7,184
In-Store,7,0.1,139.03,167.5,92
Distributor,7,0.1,1485.06,2284.7,8
In-Store,3,0.075,1489.41,1909.5,2
In-Store,8,0.05,3296.4,5494.0,212
In-Store,8,0.075,2137.3,3886.0,123
In-Store,3,0.1,166.5,234.5,4
In-Store,5,0.05,4372.96,5205.9,31
Wholesale,7,0.05,1336.18,1735.3,122
Online,1,0.2,430.54,1025.1,5
Distributor,3,0.3,1981.86,3886.0,4
Distributor,4,0.075,502.3,984.9,59
Online,5,0.15,511.34,1065.3,3
Distributor,7,0.3,3402.66,5078.6,183
Online,7,0.1,168.24,207.7,3
Wholesale,3,0.05,1585.22,2264.6,7
Distributor,6,0.075,840.18,1909.5,5
Distributor,8,0.05,765.41,1125.6,0
Online,4,0.15,4209.34,5688.3,4
Online,5,0.1,117.25,167.5,120
Online,5,0.075,1668.3,2224.4,1
Wholesale,4,0.05,686.15,891.1,5
Online,4,0.15,2726.9,3685.0,1
Online,8,0.1,472.35,1005.0,0
Online,8,0.075,782.56,1956.4,0
Online,7,0.075,1650.81,3839.1,8
In-Store,1,0.05,948.12,1788.9,9
Distributor,1,0.1,851.84,1092.1,5
In-Store,2,0.075,992.2,1681.7,0
Wholesale,5,0.075,841.52,1051.9,122
In-Store,8,0.075,99.16,247.9,6
In-Store,6,0.05,2517.19,3872.6,31
Wholesale,6,0.05,2047.52,2559.4,3
In-Store,1,0.15,1461.4,1782.2,30
Distributor,8,0.075,4352.32,5440.4,2
Distributor,1,0.2,643.2,1286.4,6
Wholesale,4,0.05,549.4,1098.8,0
In-Store,4,0.1,412.72,1031.8,0
Online,4,0.2,1612.42,2559.4,0
In-Store,2,0.3,1434.2,1862.6,0
In-Store,7,0.05,520.99,1085.4,1
Online,1,0.075,901.15,1802.3,0
Online,3,0.3,1430.85,1882.7,183
Online,2,0.075,1226.37,1916.2,0
Online,6,0.2,694.12,991.6,0
In-Store,1,0.05,922.59,1809.0,61
Online,6,0.1,614.86,891.1,61
Distributor,4,0.05,150.21,254.6,0
In-Store,7,0.1,1322.58,3149.0,8
Wholesale,7,0.075,1775.84,3946.3,150
In-Store,7,0.05,748.79,1701.8,59
In-Store,5,0.05,445.15,1011.7,0
Online,5,0.4,383.24,871.0,0
In-Store,3,0.075,442.2,1105.5,4
Wholesale,7,0.05,4611.74,6405.2,4
Online,4,0.3,1798.95,2398.6,61
Wholesale,3,0.15,811.91,1112.2,69
Wholesale,4,0.15,1103.69,1936.3,5
In-Store,2,0.075,452.32,1051.9,0
In-Store,5,0.3,662.7,1051.9,0
Distributor,3,0.075,589.73,1092.1,0
Online,2,0.2,1905.48,3175.8,31
Online,7,0.1,1808.73,2659.9,0
In-Store,7,0.075,768.49,1038.5,0
Online,1,0.05,860.82,1956.4,0
Wholesale,7,0.15,844.2,1125.6,7
In-Store,6,0.1,1339.2,1762.1,122
In-Store,4,0.05,334.2,777.2,1
In-Store,7,0.05,1462.54,1762.1,9
In-Store,8,0.1,511.61,1112.2,153
Wholesale,8,0.05,1306.5,2512.5,7
Wholesale,8,0.15,430.94,897.8,0
Wholesale,8,0.15,3236.1,6472.2,92
In-Store,8,0.1,747.72,1038.5,0
In-Store,1,0.075,4045.73,5949.6,0
Distributor,6,0.075,474.96,931.3,40
In-Store,8,0.05,1024.3,2438.8,0
Online,7,0.3,419.02,710.2,6
Online,5,0.05,427.73,1018.4,9
Online,8,0.1,2111.51,3839.1,4
In-Store,2,0.4,824.1,1098.8,0
Online,2,0.05,725.81,1051.9,0
In-Store,7,0.05,2628.81,3865.9,0
Online,6,0.1,559.45,1118.9,5
In-Store,5,0.05,3351.88,5078.6,69
In-Store,3,0.05,1085.07,2646.5,0
In-Store,8,0.4,2261.65,3899.4,0
In-Store,8,0.3,1466.56,2485.7,212
Online,3,0.05,1535.1,2398.6,0
Online,4,0.4,1830.71,2653.2,8
Wholesale,4,0.05,1109.65,2264.6,39
Online,7,0.05,2996.11,5165.7,0
Distributor,4,0.05,882.19,1145.7,4
Online,1,0.05,3205.88,5433.7,0
Online,4,0.075,104.52,201.0,8
Online,5,0.1,776.66,1688.4,9
Online,6,0.1,402.0,1005.0,212
Wholesale,1,0.3,1288.28,1695.1,0
Online,3,0.15,645.75,1058.6,0
In-Store,4,0.05,4877.6,6097.0,4
Online,4,0.2,712.88,1782.2,3
Distributor,6,0.05,1441.44,2324.9,5
Wholesale,6,0.1,2600.14,3939.6,9
In-Store,3,0.2,84.42,187.6,69
In-Store,2,0.05,1787.29,2351.7,90
Online,5,0.075,206.36,268.0,0
Online,4,0.15,2529.38,3242.8,0
Wholesale,1,0.1,806.35,971.5,1
Wholesale,1,0.075,2768.78,3691.7,5
Distributor,3,0.3,157.38,194.3,129
Distributor,2,0.075,919.78,1179.2,3
In-Store,4,0.05,104.52,174.2,3
Wholesale,8,0.15,491.45,1092.1,89
Wholesale,1,0.1,3352.28,5406.9,6
In-Store,7,0.05,635.56,1025.1,91
In-Store,8,0.4,2078.41,3102.1,61
Online,2,0.15,1472.53,2231.1,0
In-Store,7,0.075,811.37,1159.1,10
